Name,Price,Description,Stock,Categories,Tags
Bulbasaur,£63.00,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun’s rays, the seed grows progressively larger.",45 in stock,"['Pokemon', 'Seed']","['bulbasaur', 'Overgrow', 'Seed']"
Ivysaur,£87.00,"There is a bud on this Pokémon’s back. To support its weight, Ivysaur’s legs and trunk grow thick and strong. If it starts spending more time lying in the sunlight, it’s a sign that the bud will bloom into a large flower soon.",142 in stock,"['Pokemon', 'Seed']","['ivysaur', 'Overgrow', 'Seed']"
Venusaur,£105.00,There is a large flower on Venusaur’s back. The flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower’s aroma soothes the emotions of people.,30 in stock,"['Pokemon', 'Seed']","['Overgrow', 'Seed', 'venusaur']"
Charmander,£48.00,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is enjoying itself. If the Pokémon becomes enraged, the flame burns fiercely.",206 in stock,"['Lizard', 'Pokemon']","['Blaze', 'charmander', 'Lizard']"
Charmeleon,£165.00,"Charmeleon mercilessly destroys its foes using its sharp claws. If it encounters a strong foe, it turns aggressive. In this excited state, the flame at the tip of its tail flares with a bluish white color.",284 in stock,"['Flame', 'Pokemon']","['Blaze', 'charmeleon', 'Flame']"
Charizard,£156.00,"Charizard flies around the sky in search of powerful opponents. It breathes fire of such great heat that it melts anything. However, it never turns its fiery breath on any opponent weaker than itself.",31 in stock,"['Flame', 'Pokemon']","['Blaze', 'Charizard', 'Flame']"
Squirtle,£130.00,"Squirtle’s shell is not merely used for protection. The shell’s rounded shape and the grooves on its surface help minimize resistance in water, enabling this Pokémon to swim at high speeds.",178 in stock,"['Pokemon', 'Tiny Turtle']","['squirtle', 'Tiny Turtle', 'Torrent']"
Wartortle,£123.00,"Its tail is large and covered with a rich, thick fur. The tail becomes increasingly deeper in color as Wartortle ages. The scratches on its shell are evidence of this Pokémon’s toughness as a battler.",24 in stock,"['Pokemon', 'Turtle']","['Torrent', 'Turtle', 'wartortle']"
Blastoise,£76.00,Blastoise has water spouts that protrude from its shell. The water spouts are very accurate. They can shoot bullets of water with enough accuracy to strike empty cans from a distance of over 160 feet.,88 in stock,"['Pokemon', 'Shellfish']","['blastoise', 'Shellfish', 'Torrent']"
Caterpie,£73.00,"Caterpie has a voracious appetite. It can devour leaves bigger than its body right before your eyes. From its antenna, this Pokémon releases a terrifically strong odor.",40 in stock,"['Pokemon', 'Worm']","['caterpie', 'Shield Dust', 'Worm']"
